postUrl,profileUrl,pubDate,headline,description,username
https://www.instagram.com/p/C1-kZ7BgGH_/,https://www.instagram.com/ubcartscoop,2024-01-11T23:00:33.000Z,,"Happy New Year and first week of school! ? ? Gear up for success with these job posting tips as you begin the summer co-op search: ? ? ???Federal government postings mostly close Jan-Feb. ? ???Private sector jobs are steady all term. ? ??Non-profit postings surge from April-May. * ? ? * Note for international students: January-March is prime time for diverse opportunities, as many non-profits rely on federal wage subsidies, which international students are not be eligible for. ? ? Let's conquer those career goals in 2024! ??",ubcartscoop
https://www.instagram.com/p/C1FhIQAtjTp/,https://www.instagram.com/ubcartscoop,2023-12-20T19:15:12.000Z,,"Happy holidays! To mark the end of another great year, our team enjoyed the festive lights together at VanDusen Garden, bringing joyful smiles and holiday cheer.? ? Our office will be closed from December 23 through January 1. We wish you the best over the winter break and we'll see you when we return!",ubcartscoop
https://www.instagram.com/p/C041QneuJXj/,https://www.instagram.com/ubcartscoop,2023-12-15T21:00:53.000Z,,"?? As we approach the holiday break, consider using this time for a well-deserved rest while also planning for the upcoming term. ? ? Here's a checklist to keep in mind: ? ? ?? Create a master resume. ? ??? Organize additional documents. ? ?? Stay in touch with references.",ubcartscoop
https://www.instagram.com/p/C0mzqlXsLlb/,https://www.instagram.com/ubcartscoop,2023-12-08T21:00:36.000Z,,Wondering where Arts Co-op jobs are located? ?? Discover work terms by sector and region in our 2022/23 annual report ??.,ubcartscoop
https://www.instagram.com/p/C0UyHAURj9g/,https://www.instagram.com/ubcartscoop,2023-12-01T21:00:42.000Z,,Curious about Arts Co-op Student earnings? ?? Check out the salary breakdown by sector and work terms in our 2022/23 annual report. ?? Link in Bio,ubcartscoop
https://www.instagram.com/p/C0KhLCQMWNt/,https://www.instagram.com/ubcartscoop,2023-11-27T21:20:17.000Z,,Our new undergraduate Arts Co-op students kicked off their co-op journeys with the first pre-employment conference and in-person networking event! ???? ? ? We are looking forward to working with our new cohort of 290+ new co-op students as they begin exploring career opportunities through co-op.,ubcartscoop
https://www.instagram.com/p/C0CjWTvs8pF/,https://www.instagram.com/ubcartscoop,2023-11-24T19:05:23.000Z,,"?? ConGRADs! To our recent Arts co-op graduates! Thank you for stopping by the office, as you embark on new adventures beyond co-op, know that we're cheering you on every step of the way! ? ? ?????????? But that's not all! Join us in celebrating the graduation of our very own Co-op Career Educator Harris Green (last slide), who is earning a Master's in Higher Education this week. ? ? Here's to continued success and countless achievements! ???? #ClassOf2023 #GraduationDay",ubcartscoop
https://www.instagram.com/p/Cz7JAMTsVLt/,https://www.instagram.com/ubcartscoop,2023-11-21T22:01:02.000Z,,"Student Success Story: Caitlin Paterson ?? ? ? Major in Psychology, Minor in Journalism and Society ? ? Caitlin made significant contributions during her work term at Transport Canada as a Communications Assistant, where she excelled in designing graphics and producing video interviews. ? ? Caitlin's impact extended beyond design; she also crafted daily media monitoring reports for the Regional Emergency Coordination Centre, providing valuable insights for disaster response. Furthermore, she actively supported national advertising campaigns for the Federal Ocean's Protection Plan and played a pivotal role in facilitating large-scale events and ministerial visits. ? ? Participating in the Arts Co-op Program allowed Caitlin to build a robust design portfolio, gain confidence in interviews, and establish a valuable network through Arts Co-op conferences. This experience will undoubtedly provide her with a head start in the competitive job market, laying the foundation for a successful career in communications. ? ? Head to the link in bio, to learn more about her co-op journey.",ubcartscoop
https://www.instagram.com/p/C2QRXxPumot/,https://www.instagram.com/ubc_arts,2024-01-18T20:00:55.000Z,,"Let's talk about ""internships"". ? ? Like, what exactly is an ""internship"", and does it actually align with your career goals? ? ? Uncover the truth behind the term and discover how to make your career experiences truly impactful.? ? ?? Link in bio for the full scoop!",ubc_arts
https://www.instagram.com/p/C2LATfZM5PK/,https://www.instagram.com/ubc_arts,2024-01-16T18:55:13.000Z,,"?? A new term means new opportunities! ? ? Reflect, reassess, and recalibrate your academic plan. It's okay if the last term didn't go exactly as you planned—it's all part of the journey. ? ? Keep pushing forward with the advice, and resources at our link in bio!",ubc_arts
https://www.instagram.com/p/C1sIIsxNkcj/,https://www.instagram.com/ubc_arts,2024-01-04T19:07:11.000Z,,"Last year, UBC Arts and @ubcappliedscience students teamed up in the new 'Humanitarian Engineering' course, crafting solutions for real-world challenges.? ? From innovating water solutions in B.C.'s Lytton First Nation to designing flood-resistant sanitation in India, their empathy-driven approach is sparking meaningful change!? ? Learn more about these students and this innovative new course at our Link in Bio!",ubc_arts
